year,state,variable,max_bin_pp
2021,WV,race4,1.8
2022,MD,hhSize,1.1
2022,MD,autos,2.5
2022,MD,dwellingType,1.6
2022,MD,hh_inc9,0.5
2022,MD,age_bin,1.4
2022,MD,gender,0.6
2022,MD,occ_silo,2.5
2022,MD,race4,1.1
2022,VA,hhSize,1.4
2022,VA,autos,2.4
2022,VA,dwellingType,0.3
2022,VA,hh_inc9,2.5
2022,VA,age_bin,1.8
2022,VA,gender,1.2
2022,VA,occ_silo,2.5
2022,VA,race4,1.2
2022,PA,hhSize,1.5
2022,PA,autos,2.9
2022,PA,dwellingType,2.3
2022,PA,hh_inc9,2.5
2022,PA,age_bin,2.0
2022,PA,gender,1.6
2022,PA,occ_silo,1.8
2022,PA,race4,1.6
2022,DE,hhSize,1.1
2022,DE,autos,3.2
2022,DE,dwellingType,0.8
2022,DE,hh_inc9,1.4
2022,DE,age_bin,1.5
2022,DE,gender,0.6
2022,DE,occ_silo,2.3
2022,DE,race4,1.3
2022,DC,hhSize,1.0
2022,DC,autos,1.4
2022,DC,dwellingType,2.3
2022,DC,hh_inc9,1.7
2022,DC,age_bin,6.8
2022,DC,gender,0.4
2022,DC,occ_silo,4.1
2022,DC,race4,1.4
2022,WV,hhSize,1.5
2022,WV,autos,6.6
2022,WV,dwellingType,7.7
2022,WV,hh_inc9,2.8
2022,WV,age_bin,1.9
2022,WV,gender,2.5
2022,WV,occ_silo,3.3
2022,WV,race4,2.3
2023,MD,hhSize,1.1
2023,MD,autos,2.5
2023,MD,dwellingType,1.5
2023,MD,hh_inc9,0.7
2023,MD,age_bin,1.3
2023,MD,gender,0.5
2023,MD,occ_silo,2.7
2023,MD,race4,2.2
2023,DE,hhSize,1.0
2023,DE,autos,3.1
2023,DE,dwellingType,0.8
2023,DE,hh_inc9,1.4
2023,DE,age_bin,1.4
2023,DE,gender,0.6
2023,DE,occ_silo,2.6
2023,DE,race4,2.4
2023,DC,hhSize,2.1
2023,DC,autos,1.4
2023,DC,dwellingType,3.6
2023,DC,hh_inc9,2.0
2023,DC,age_bin,6.5
2023,DC,gender,0.2
2023,DC,occ_silo,4.1
2023,DC,race4,0.6
